P00001,中国面包,201,200.99,0-04-653767-8,0.26,罐,S00063
P00002,中国馒头,630,629.99,1-72607-771-3,0.39,箱,S00036
P00003,中国红酒,978,977.99,1-990459-81-1,0.06,件,S00101
P00004,中国羊毛衫,293,292.99,1-72089-769-7,0.42,瓶,S00094
P00005,中国外套,273,272.99,0-611-41009-5,0.51,罐,S00095
P00006,中国鸭脖,348,347.99,1-78985-545-4,0.29,件,S00076
P00007,法国面包,490,489.99,1-80225-470-6,0.43,瓶,S00045
P00008,法国馒头,646,645.99,0-605-47731-0,0.39,件,S00074
P00009,法国红酒,377,376.99,1-251-30210-6,0.46,瓶,S00078
P00010,法国羊毛衫,116,115.99,0-19-753282-9,0.30,罐,S00064
P00011,法国外套,927,926.99,1-891885-58-8,0.53,瓶,S00054
P00012,法国鸭脖,411,410.99,1-9805-6759-X,0.07,瓶,S00075
P00013,英格兰面包,254,253.99,1-238-32054-6,0.66,瓶,S00053
P00014,英格兰馒头,456,455.99,0-460-71122-9,0.65,瓶,S00025
P00015,英格兰红酒,533,532.99,0-370-50935-8,0.67,件,S00058
P00016,英格兰羊毛衫,256,255.99,0-7635-0407-6,0.16,箱,S00016
P00017,英格兰外套,112,111.99,0-00-103504-5,0.40,瓶,S00081
P00018,英格兰鸭脖,452,451.99,1-08-607206-5,0.02,件,S00048
P00019,旦西堡面包,209,208.99,1-65768-954-9,0.11,箱,S00080
P00020,旦西堡馒头,857,856.99,0-541-18048-7,0.20,罐,S00098
P00021,旦西堡红酒,918,917.99,1-4915-8813-6,0.61,罐,S00037
P00022,旦西堡羊毛衫,542,541.99,1-101-97089-8,0.57,瓶,S00075
P00023,旦西堡外套,397,396.99,1-335-27155-4,0.32,罐,S00007
P00024,旦西堡鸭脖,23,22.99,0-465-21008-2,0.52,件,S00001
P00025,葡萄牙面包,271,270.99,1-61061-275-2,0.52,瓶,S00086
P00026,葡萄牙馒头,441,440.99,1-361-10081-8,0.43,罐,S00084
P00027,葡萄牙红酒,976,975.99,0-7302-7165-X,0.86,罐,S00025
P00028,葡萄牙羊毛衫,645,644.99,0-7099-9868-6,0.75,罐,S00018
P00029,葡萄牙外套,537,536.99,0-86648-863-4,0.05,罐,S00079
P00030,葡萄牙鸭脖,781,780.99,1-83752-034-8,0.04,件,S00004
P00031,美国面包,106,105.99,1-64469-051-9,0.55,件,S00068
P00032,美国馒头,368,367.99,0-536-39172-6,0.13,瓶,S00079
P00033,美国红酒,107,106.99,1-76486-038-1,0.72,件,S00036
P00034,美国羊毛衫,707,706.99,1-972043-13-7,0.12,件,S00055
P00035,美国外套,594,593.99,0-00-140849-6,0.06,箱,S00041
P00036,美国鸭脖,177,176.99,1-993630-36-8,0.58,件,S00061
P00037,奥尔良面包,516,515.99,1-383-56683-6,0.63,罐,S00060
P00038,奥尔良馒头,503,502.99,0-09-265517-3,0.44,罐,S00042
P00039,奥尔良红酒,590,589.99,1-4752-9403-4,0.25,箱,S00009
P00040,奥尔良羊毛衫,260,259.99,0-367-84829-5,0.81,罐,S00093
P00041,奥尔良外套,846,845.99,1-955827-50-8,0.44,瓶,S00087
P00042,奥尔良鸭脖,773,772.99,1-935550-75-6,0.83,瓶,S00099
